['20:07:54.697151', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [], 'Head Up']
['20:08:07.992778', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7513147592544556)], 'Head Down']
['20:08:08.246359', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7083792090415955)], -1]
['20:08:08.485169', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.8654611110687256)], -1]
['20:08:08.734382', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.74492347240448)], -1]
['20:08:08.987090', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7771183848381042)], -1]
['20:08:09.241084', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8305334448814392)], -1]
['20:08:09.479338', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7985863089561462)], 'Head Right']
['20:08:09.716089', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.8020532727241516)], -1]
['20:08:09.953710', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8156831860542297)], -1]
['20:08:10.207324', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.6939601898193359)], -1]
['20:08:10.460540', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7725760340690613)], -1]
['20:08:10.696086', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7329625487327576)], -1]
['20:08:10.947329', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8083553910255432)], -1]
['20:08:11.201069', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.8150139451026917)], -1]
['20:08:11.453717', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Open', [('person', 0.8181635141372681)], -1]
['20:08:11.708773', 'Face detecting properly.', 'No Blink', 'center', 'Mouth Close', [('person', 0.7376558780670166)], -1]
['20:08:11.961287', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.710320234298706)], 'Head Up']
['20:08:12.199197', 'Face detecting properly.', 'No Blink', 'left', 'Mouth Close', [('person', 0.7066664695739746)], 'Head Right']
